seq,stamp,pose_source,f2f_init_used,map_converged,map_degenerate,map_score,f2f_init_score,map_conf_raw,map_conf,f2f_conf,w_f2f_t,w_f2f_r,w_f2f_ax,w_f2f_nonax,prior_mult,prior_hit_ratio,prior_avg_conf,prior_core_hit_ratio,prior_band_hit_ratio,prior_inner_hit_ratio,wall_ratio_inner,wall_relief_inner,wall_r,wall_r_axial_scale,inc_unknown_ratio,inc_stable_ratio,r_inc_static,inc_static_axial_scale,px,py,pz,qw,qx,qy,qz
1478,153.222000000,fused_map_f2f,1,1,0,0.104253651,0.039116641,0.824829300,0.824829300,0.100000000,0.013291750,0.013291750,0.042973064,0.003356397,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.558823529,0.309671816,0.459162844,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,92.286018372,17.399682999,0.731844187,0.999999762,-0.000649133,0.000070732,-0.000052226
1479,153.316000000,fused_map_f2f,1,1,0,0.103906294,0.029535446,0.826204255,0.826204255,0.100000000,0.013269924,0.013269924,0.042904617,0.003350830,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.537313433,0.245807345,0.420710998,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,92.344627380,17.400896072,0.732066035,0.999999940,-0.000347538,0.000108368,-0.000031223
1480,153.439000000,fused_map_f2f,1,1,0,0.103209092,0.025546085,0.828964011,0.828964011,0.100000000,0.013226330,0.013226330,0.042767889,0.003339712,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.530303030,0.286750536,0.432882033,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,92.425369263,17.401483536,0.732368469,1.000000000,-0.000146868,0.000095697,-0.000047173
1481,153.513000000,fused_map_f2f,1,1,0,0.104740830,0.034476889,0.822900880,0.822900880,0.100000000,0.013322484,0.013322484,0.043069431,0.003364236,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.523076923,0.284241714,0.427542840,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,92.472717285,17.400627136,0.732240379,0.999999940,-0.000223497,0.000090802,-0.000078714
1482,153.624000000,fused_map_f2f,1,1,0,0.105916379,0.014629534,0.818247665,0.818247665,0.100000000,0.013397231,0.013397231,0.043303752,0.003383303,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.553846154,0.315878648,0.458659151,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,92.593368530,17.401044846,0.732087493,0.999999881,-0.000503255,0.000066919,-0.000013404
1483,153.716000000,fused_map_f2f,1,1,0,0.105444858,0.068290364,0.820114103,0.820114103,0.096718398,0.012934166,0.012934166,0.041850839,0.003265216,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.575757576,0.322167291,0.474321462,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,92.661231995,17.401809692,0.732330799,1.000000000,-0.000195495,0.000070913,0.000028102
1484,153.817000000,fused_map_f2f,1,1,0,0.105947688,0.019632978,0.818123734,0.818123734,0.100000000,0.013399233,0.013399233,0.043310028,0.003383814,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.537313433,0.285432829,0.436561191,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,92.764862061,17.400880814,0.732532561,0.999999940,-0.000354308,0.000069625,-0.000057509
1485,153.914000000,fused_map_f2f,1,1,0,0.107087459,0.025061792,0.813612143,0.813612143,0.100000000,0.013472533,0.013472533,0.043539732,0.003402514,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.537313433,0.258186792,0.425662777,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,92.851699829,17.401145935,0.732093990,0.999999940,-0.000338668,0.000059155,-0.000069954
1486,154.032000000,fused_map_f2f,1,1,0,0.107661423,0.023774538,0.811340199,0.811340199,0.100000000,0.013509749,0.013509749,0.043656331,0.003412009,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.553846154,0.361515404,0.476913854,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,92.970512390,17.400915146,0.732855022,0.999999940,-0.000385373,0.000064231,-0.000066512
1487,154.132000000,fused_map_f2f,1,1,0,0.107697409,0.020819408,0.811197758,0.811197758,0.100000000,0.013512090,0.013512090,0.043663662,0.003412606,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.536231884,0.231278054,0.414250352,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,93.048591614,17.401481628,0.732539833,0.999999940,-0.000311966,0.000091657,-0.000031294
