seq,stamp,pose_source,f2f_init_used,map_converged,map_degenerate,map_score,f2f_init_score,map_conf_raw,map_conf,f2f_conf,w_f2f_t,w_f2f_r,w_f2f_ax,w_f2f_nonax,prior_mult,prior_hit_ratio,prior_avg_conf,prior_core_hit_ratio,prior_band_hit_ratio,prior_inner_hit_ratio,wall_ratio_inner,wall_relief_inner,wall_r,wall_r_axial_scale,inc_unknown_ratio,inc_stable_ratio,r_inc_static,inc_static_axial_scale,px,py,pz,qw,qx,qy,qz
14,2.309000000,fused_map_f2f,1,1,0,0.006817314,0.005117179,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.010989011,0.010989011,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,-0.167681903,0.026898302,0.750844181,0.999996364,-0.000035190,0.000037287,0.002702147
15,2.409000000,fused_map_f2f,1,1,0,0.006806936,0.005324683,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.010989011,0.010989011,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,-0.167367637,0.026803082,0.750853062,0.999996305,-0.000087272,0.000026228,0.002705141
16,2.518000000,fused_map_f2f,1,1,0,0.006820334,0.005104155,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.010989011,0.010989011,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,-0.167521715,0.027235003,0.750512004,0.999996305,-0.000061027,0.000034956,0.002725549
17,2.596000000,fused_map_f2f,1,1,0,0.006810699,0.005636365,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.010989011,0.010989011,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,-0.167042568,0.027123608,0.750881791,0.999996245,-0.000025905,0.000030388,0.002742121
18,2.709000000,fused_map_f2f,1,1,0,0.006837233,0.005579961,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.010989011,0.010989011,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,-0.167379826,0.026973691,0.750826538,0.999996126,-0.000046548,0.000037228,0.002785204
19,2.803000000,fused_map_f2f,1,1,0,0.006830127,0.004815335,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.010989011,0.010989011,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,-0.167277619,0.027162140,0.750869453,0.999996126,-0.000068359,0.000027135,0.002780415
20,2.915000000,fused_map_f2f,1,1,0,0.006891511,0.005832550,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.010989011,0.010989011,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,-0.166873932,0.027587166,0.750710905,0.999996006,-0.000008897,0.000039083,0.002814275
21,2.999000000,fused_map_f2f,1,1,0,0.006883547,0.005248405,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.010989011,0.010989011,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,-0.167119607,0.026869738,0.750836849,0.999995947,-0.000109433,0.000036857,0.002851362
22,3.112000000,fused_map_f2f,1,1,0,0.006872755,0.003303827,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.010989011,0.010989011,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,-0.167073056,0.027217707,0.750777304,0.999995887,-0.000086833,0.000034341,0.002858271
23,3.225000000,fused_map_f2f,1,1,0,0.006901042,0.005312730,1.000000000,1.000000000,0.100000000,0.010989011,0.010989011,0.010989011,0.010989011,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,-0.167132750,0.027235845,0.750721276,0.999995887,-0.000046887,0.000031837,0.002874278
