seq,stamp,pose_source,f2f_init_used,map_converged,map_degenerate,map_score,f2f_init_score,map_conf_raw,map_conf,f2f_conf,w_f2f_t,w_f2f_r,w_f2f_ax,w_f2f_nonax,prior_mult,prior_hit_ratio,prior_avg_conf,prior_core_hit_ratio,prior_band_hit_ratio,prior_inner_hit_ratio,wall_ratio_inner,wall_relief_inner,wall_r,wall_r_axial_scale,inc_unknown_ratio,inc_stable_ratio,r_inc_static,inc_static_axial_scale,px,py,pz,qw,qx,qy,qz
1420,147.418000000,fused_map_f2f,1,1,0,0.086244597,0.026423084,0.896115138,0.896115138,0.100000000,0.012247343,0.012247343,0.040399272,0.003090221,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.463768116,0.187755122,0.353362918,1.000000000,0.945535714,0.559726962,0.529241833,1.018616122,88.408592224,17.397872925,0.734417558,0.999998748,-0.001567538,0.000030337,-0.000178182
1421,147.534000000,fused_map_f2f,1,1,0,0.087918185,0.018409182,0.889490517,0.889490517,0.100000000,0.012337432,0.012337432,0.040732439,0.003113164,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.492753623,0.225732854,0.385945315,1.000000000,0.943946188,0.579136691,0.546673872,1.019778258,88.470077515,17.397871017,0.733654082,0.999998808,-0.001535049,0.000099221,-0.000116579
1422,147.630000000,fused_map_f2f,1,1,0,0.087219528,0.033798146,0.892256035,0.892256035,0.100000000,0.012299663,0.012299663,0.040555882,0.003103545,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.514705882,0.283399182,0.422183202,1.000000000,0.942895683,0.556701031,0.524910999,1.018327400,88.538604736,17.398563385,0.733779967,0.999999046,-0.001352149,0.000099423,-0.000104703
1423,147.720000000,fused_map_f2f,1,1,0,0.085846129,0.028144114,0.897692405,0.897692405,0.100000000,0.012226087,0.012226087,0.040376503,0.003084808,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.471428571,0.275434279,0.393030854,1.000000000,0.945069788,0.578947368,0.547145667,1.019809711,88.591751099,17.397922516,0.733960927,0.999998868,-0.001500296,0.000061621,-0.000108397
1424,147.816000000,fused_map_f2f,1,1,0,0.090247152,0.018231293,0.880271690,0.880271690,0.100000000,0.012465027,0.012465027,0.041177423,0.003145665,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.485294118,0.180647077,0.363435301,1.000000000,0.945617978,0.592857143,0.560616372,1.020707758,88.652748108,17.398292542,0.733855784,0.999998868,-0.001485550,0.000063253,-0.000094827
1425,147.935000000,fused_map_f2f,1,1,0,0.091545078,0.020680690,0.875134065,0.875134065,0.100000000,0.012537288,0.012537288,0.041406964,0.003164074,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.477611940,0.141761470,0.343271752,1.000000000,0.944194419,0.592857143,0.559772406,1.020651494,88.742080688,17.397344589,0.733255804,0.999998868,-0.001475308,0.000110095,-0.000134315
1426,148.023000000,fused_map_f2f,1,1,0,0.088960871,0.024303892,0.885363218,0.885363218,0.100000000,0.012394232,0.012394232,0.040914308,0.003127632,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.500000000,0.206214776,0.382485910,1.000000000,0.940777577,0.580985915,0.546578522,1.019771901,88.810928345,17.397846222,0.733591199,0.999998868,-0.001471269,0.000113593,-0.000125000
1427,148.122000000,fused_map_f2f,1,1,0,0.092744751,0.023653904,0.870385362,0.870385362,0.100000000,0.012604828,0.012604828,0.041585670,0.003181282,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.485294118,0.180721779,0.363465182,1.000000000,0.936651584,0.582142857,0.545265029,1.019684335,88.885070801,17.397657394,0.733476281,0.999998689,-0.001595484,0.000116954,-0.000131912
1428,148.219000000,fused_map_f2f,1,1,0,0.090343912,0.018633147,0.879888682,0.879888682,0.100000000,0.012470386,0.012470386,0.041088523,0.003147030,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.442857143,0.148713912,0.325199850,1.000000000,0.938969259,0.553264605,0.519498456,1.017966564,88.959312439,17.397060394,0.733370304,0.999998331,-0.001808587,0.000141202,-0.000175308
1429,148.321000000,fused_map_f2f,1,1,0,0.092016660,0.013277586,0.873267389,0.873267389,0.100000000,0.012563751,0.012563751,0.041415849,0.003170816,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.449275362,0.109031061,0.313177642,1.000000000,0.939900587,0.564459930,0.530536220,1.018702415,89.032478333,17.396888733,0.733366370,0.999998510,-0.001721409,0.000062918,-0.000159043
1430,148.418000000,fused_map_f2f,1,1,0,0.090821769,0.027117649,0.877997165,0.877997165,0.100000000,0.012496916,0.012496916,0.041235574,0.003153788,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.428571429,0.135318521,0.311270266,1.000000000,0.937952899,0.579505300,0.543548676,1.019569912,89.197616577,17.397529602,0.732678354,0.999998868,-0.001497466,0.000091674,-0.000117118
1431,148.536000000,fused_map_f2f,1,1,0,0.091992484,0.040473647,0.873363084,0.873363084,0.100000000,0.012562392,0.012562392,0.041446255,0.003170469,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.464788732,0.186851012,0.353613644,1.000000000,0.932426304,0.583333333,0.543915344,1.019594356,89.279563904,17.397462845,0.733003795,0.999998808,-0.001523097,0.000045805,-0.000077939
1432,148.630000000,fused_map_f2f,1,1,0,0.092748479,0.019703554,0.870370605,0.870370605,0.100000000,0.012605039,0.012605039,0.041575006,0.003181335,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.478260870,0.220900112,0.375316566,1.000000000,0.937359171,0.577060932,0.540913357,1.019394224,89.387840271,17.396249771,0.732783258,0.999998689,-0.001615428,0.000093400,-0.000127590
1433,148.721000000,fused_map_f2f,1,1,0,0.093776670,0.022784618,0.866300682,0.866300682,0.100000000,0.012663508,0.012663508,0.041738662,0.003196234,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.463768116,0.213930161,0.363832934,1.000000000,0.937528293,0.567375887,0.531930947,1.018795396,89.452217102,17.395473480,0.732993901,0.999998510,-0.001726395,0.000045752,-0.000135077
1434,148.820000000,fused_map_f2f,1,1,0,0.096237108,0.039968306,0.856561447,0.856561447,0.100000000,0.012805650,0.012805650,0.042179361,0.003232458,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.492537313,0.212737056,0.380617210,1.000000000,0.933092224,0.564459930,0.526693172,1.018446211,89.540435791,17.396701813,0.732526720,0.999998569,-0.001692122,0.000100100,-0.000104818
1435,148.935000000,fused_map_f2f,1,1,0,0.096536953,0.022219711,0.855374560,0.855374560,0.100000000,0.012823191,0.012823191,0.042237165,0.003236929,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.454545455,0.239953053,0.368708494,1.000000000,0.936789450,0.562937063,0.527353501,1.018490233,89.630485535,17.396839142,0.732559800,0.999998689,-0.001628653,0.000093881,-0.000051989
1436,149.022000000,fused_map_f2f,1,1,0,0.097358243,0.031013765,0.852123622,0.852123622,0.100000000,0.012871483,0.012871483,0.042423032,0.003249238,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.507462687,0.230455165,0.396659678,1.000000000,0.933789954,0.577464789,0.539230819,1.019282055,89.694213867,17.396478653,0.732309103,0.999998331,-0.001805764,0.000100611,-0.000102544
