seq,stamp,pose_source,f2f_init_used,map_converged,map_degenerate,map_score,f2f_init_score,map_conf_raw,map_conf,f2f_conf,w_f2f_t,w_f2f_r,w_f2f_ax,w_f2f_nonax,prior_mult,prior_hit_ratio,prior_avg_conf,prior_core_hit_ratio,prior_band_hit_ratio,prior_inner_hit_ratio,wall_ratio_inner,wall_relief_inner,wall_r,wall_r_axial_scale,inc_unknown_ratio,inc_stable_ratio,r_inc_static,inc_static_axial_scale,px,py,pz,qw,qx,qy,qz
1442,149.613000000,fused_map_f2f,1,1,0,0.098623518,0.031381779,0.847115241,0.847115241,0.100000000,0.012946597,0.012946597,0.042255607,0.003268385,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.522388060,0.228443011,0.404810040,1.000000000,0.934772623,0.560000000,0.523472669,1.009115756,90.809318542,17.396697998,0.733011961,0.999998927,-0.001453214,0.000086850,-0.000075031
1443,149.734000000,fused_map_f2f,1,1,0,0.102003455,0.019365700,0.833736323,0.833736323,0.100000000,0.013151618,0.013151618,0.042882563,0.003320659,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.523076923,0.215057308,0.399869077,1.000000000,0.933701657,0.543252595,0.507235849,1.008574528,90.897468567,17.396293640,0.732465744,0.999999046,-0.001356560,0.000074120,-0.000076915
1444,149.816000000,fused_map_f2f,1,1,0,0.100969247,0.033668741,0.837830066,0.837830066,0.100000000,0.013088199,0.013088199,0.042700946,0.003304487,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.514705882,0.194954452,0.386805310,1.000000000,0.936317490,0.556737589,0.521283141,1.009042771,90.954132080,17.397052765,0.732618451,0.999999046,-0.001371316,0.000081013,-0.000064398
1445,149.933000000,fused_map_f2f,1,1,0,0.100782731,0.015177041,0.838568355,0.838568355,0.100000000,0.013076827,0.013076827,0.042669391,0.003301587,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.500000000,0.203321325,0.381328530,1.000000000,0.936258661,0.560283688,0.524570455,1.009152349,91.032707214,17.396125793,0.732309282,0.999998927,-0.001448531,0.000097011,-0.000063972
1446,150.029000000,fused_map_f2f,1,1,0,0.105071825,0.020851080,0.821590691,0.821590691,0.100000000,0.013343445,0.013343445,0.043497635,0.003369583,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.492537313,0.253998170,0.397121656,1.000000000,0.940470697,0.546075085,0.513567616,1.008785587,91.092758179,17.395631790,0.731835604,0.999998808,-0.001555861,0.000067026,-0.000067998
1447,150.116000000,fused_map_f2f,1,1,0,0.104085388,0.018009853,0.825495338,0.825495338,0.100000000,0.013281168,0.013281168,0.043314181,0.003353698,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.514285714,1.000000000,0.708571429,1.000000000,0.936346863,0.558922559,0.523345385,1.009111513,91.150001526,17.396263123,0.731774032,0.999998927,-0.001452350,0.000038270,0.000011789
1448,150.213000000,fused_map_f2f,1,1,0,0.103440383,0.018726363,0.828048483,0.828048483,0.100000000,0.013240760,0.013240760,0.043241365,0.003343392,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.538461538,1.000000000,0.723076923,1.000000000,0.934782609,0.602941176,0.563618926,1.010453964,91.220825195,17.397022247,0.732172728,0.999999106,-0.001317381,0.000094976,-0.000047611
1449,150.322000000,fused_map_f2f,1,1,0,0.103306365,0.020143400,0.828578971,0.828578971,0.100000000,0.013232395,0.013232395,0.043179182,0.003341258,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.555555556,0.198993432,0.412930706,1.000000000,0.933984193,0.575438596,0.537450553,1.009581685,91.387702942,17.397592545,0.732050359,0.999999225,-0.001249211,0.000083889,-0.000044567
1450,150.420000000,fused_map_f2f,1,1,0,0.108122218,0.032963869,0.809516221,0.809516221,0.100000000,0.013539777,0.013539777,0.044158298,0.003419670,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.514705882,0.214495966,0.394621916,1.000000000,0.939422181,0.577617329,0.542626530,1.009754218,91.453910828,17.397157669,0.732401013,0.999999344,-0.001143121,0.000083381,-0.000044530
1451,150.517000000,fused_map_f2f,1,1,0,0.105864564,0.027684179,0.818452768,0.818452768,0.100000000,0.013393919,0.013393919,0.043679868,0.003382458,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.584615385,1.000000000,0.750769231,1.000000000,0.940847694,0.563380282,0.530055039,1.009335168,91.571090698,17.397317886,0.732535481,0.999999523,-0.000979851,0.000080817,-0.000064820
1452,150.637000000,fused_map_f2f,1,1,0,0.106740838,0.031486257,0.814984183,0.814984183,0.100000000,0.013450157,0.013450157,0.043853322,0.003396805,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.544117647,1.000000000,0.726470588,1.000000000,0.937177684,0.562277580,0.526954000,1.009231800,91.655273438,17.397382736,0.732606888,0.999999523,-0.000967273,0.000085795,-0.000075348
1453,150.732000000,fused_map_f2f,1,1,0,0.106743741,0.018758663,0.814972694,0.814972694,0.100000000,0.013450344,0.013450344,0.043836844,0.003396853,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.523076923,0.316694432,0.440523927,1.000000000,0.935981308,0.549828179,0.514628898,1.008820963,91.725830078,17.397142410,0.732079566,0.999999523,-0.000956797,0.000079053,-0.000085871
1454,150.829000000,fused_map_f2f,1,1,0,0.105287249,0.015971627,0.820737973,0.820737973,0.100000000,0.013357124,0.013357124,0.043539319,0.003373072,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.545454545,1.000000000,0.727272727,1.000000000,0.936768150,0.547038328,0.512448082,1.008748269,91.793632507,17.396945953,0.732407033,0.999999285,-0.001211269,0.000069344,-0.000073577
1455,150.933000000,fused_map_f2f,1,1,0,0.105469204,0.016305308,0.820017733,0.820017733,0.100000000,0.013368699,0.013368699,0.043598237,0.003376024,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.553846154,0.244132177,0.429960563,1.000000000,0.936120244,0.564748201,0.528672224,1.009289074,91.851371765,17.396869659,0.732156217,0.999999225,-0.001224521,0.000056589,-0.000091644
1456,151.015000000,fused_map_f2f,1,1,0,0.106175088,0.029722448,0.817223610,0.817223610,0.100000000,0.013413794,0.013413794,0.043714969,0.003387528,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.538461538,0.222300599,0.411997162,1.000000000,0.938765897,0.543252595,0.509987010,1.008666234,91.895416260,17.396888733,0.731416583,0.999999344,-0.001152678,0.000078786,-0.000082155
