seq,stamp,pose_source,f2f_init_used,map_converged,map_degenerate,map_score,f2f_init_score,map_conf_raw,map_conf,f2f_conf,w_f2f_t,w_f2f_r,w_f2f_ax,w_f2f_nonax,prior_mult,prior_hit_ratio,prior_avg_conf,prior_core_hit_ratio,prior_band_hit_ratio,prior_inner_hit_ratio,wall_ratio_inner,wall_relief_inner,wall_r,wall_r_axial_scale,inc_unknown_ratio,inc_stable_ratio,r_inc_static,inc_static_axial_scale,px,py,pz,qw,qx,qy,qz
3274,1713240152.040766239,fused_map_f2f,1,1,0,0.081353744,0.007561121,0.915474763,0.915474763,0.500000000,0.057212998,0.057212998,0.057212998,0.057212998,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.473983384,0.706766917,0.334995775,1.005666385,260.613891602,-115.079948425,0.726048172,-0.648905575,0.003472858,0.013728920,-0.760737300
3275,1713240152.143047333,fused_map_f2f,1,1,0,0.080801907,0.032320846,0.917659119,0.917659119,0.500000000,0.057084585,0.057084585,0.057084585,0.057084585,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.471698113,0.730158730,0.344414495,1.006294300,260.615539551,-115.081314087,0.727586985,-0.649003386,0.003530405,0.014033210,-0.760648072
3276,1713240152.239551306,fused_map_f2f,1,1,0,0.082782948,0.008584491,0.909817497,0.909817497,0.500000000,0.057548277,0.057548277,0.057548277,0.057548277,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.478487614,0.691729323,0.330983913,1.005398928,260.614654541,-115.081092834,0.728929281,-0.649002314,0.003575333,0.014231864,-0.760644972
3277,1713240152.339342594,fused_map_f2f,1,1,0,0.082749349,0.007026596,0.909950495,0.909950495,0.500000000,0.057540349,0.057540349,0.057540349,0.057540349,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.471747700,0.713178295,0.336440220,1.005762681,260.614318848,-115.079589844,0.726601541,-0.648904741,0.003592950,0.014299519,-0.760726810
3278,1713240152.439722300,fused_map_f2f,1,1,0,0.082858680,0.008270763,0.909517724,0.909517724,0.500000000,0.057566152,0.057566152,0.057566152,0.057566152,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.474531998,0.702290076,0.333259113,1.005550608,260.614257812,-115.079162598,0.726301253,-0.649036467,0.003700700,0.013971022,-0.760620058
3279,1713240152.540278912,fused_map_f2f,1,1,0,0.084151917,0.011718466,0.904398662,0.904398662,0.500000000,0.057873130,0.057873130,0.057873130,0.057873130,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.471384884,0.710937500,0.335125191,1.005675013,260.612426758,-115.078857422,0.725818098,-0.649172008,0.003578162,0.013750473,-0.760508955
3280,1713240152.639685631,fused_map_f2f,1,1,0,0.082429106,0.010167655,0.911218122,0.911218122,0.500000000,0.057464903,0.057464903,0.057464903,0.057464903,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.472830850,0.700000000,0.330981595,1.005398773,260.613067627,-115.079513550,0.726124465,-0.649070919,0.003540956,0.013908652,-0.760592520
3281,1713240152.739497662,fused_map_f2f,1,1,0,0.079234687,0.010570122,0.923862699,0.923862699,0.500000000,0.056723014,0.056723014,0.056723014,0.056723014,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.468763652,0.696969697,0.326714061,1.005114271,260.614562988,-115.084457397,0.728161454,-0.649000704,0.003578001,0.013883043,-0.760652721
3282,1713240152.839617491,fused_map_f2f,1,1,0,0.082637939,0.010163217,0.910391493,0.910391493,0.500000000,0.057514080,0.057514080,0.057514080,0.057514080,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.477461707,0.740157480,0.353396854,1.006893124,260.614074707,-115.082183838,0.728746831,-0.648931861,0.003459031,0.013924012,-0.760711253
3283,1713240152.939507961,fused_map_f2f,1,1,0,0.084971821,0.016200783,0.901153210,0.901153210,0.500000000,0.058069454,0.058069454,0.058069454,0.058069454,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.472599737,0.740157480,0.349798231,1.006653215,260.613830566,-115.082260132,0.727322102,-0.649042964,0.003509878,0.014019602,-0.760614395
3284,1713240153.041594982,fused_map_f2f,1,1,0,0.083485191,0.007878495,0.907037785,0.907037785,0.500000000,0.057714461,0.057714461,0.057714461,0.057714461,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.474213287,0.752000000,0.356608392,1.007107226,260.612487793,-115.082839966,0.725971699,-0.649132490,0.003594136,0.013787781,-0.760541916
3285,1713240153.139377594,fused_map_f2f,1,1,0,0.085222295,0.008839234,0.900161750,0.900161750,0.500000000,0.058129695,0.058129695,0.058129695,0.058129695,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.472234368,0.701492537,0.331268885,1.005417926,260.612823486,-115.083663940,0.727279067,-0.649043083,0.003639325,0.013822632,-0.760617435
3286,1713240153.239415646,fused_map_f2f,1,1,0,0.083541707,0.016800102,0.906814076,0.906814076,0.500000000,0.057727877,0.057727877,0.057727877,0.057727877,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.472735268,0.740157480,0.349898545,1.006659903,260.613891602,-115.080764771,0.728686392,-0.649073780,0.003637733,0.013986416,-0.760588229
3287,1713240153.340021849,fused_map_f2f,1,1,0,0.086087992,0.009491681,0.896735030,0.896735030,0.500000000,0.058338869,0.058338869,0.058338869,0.058338869,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.473753281,0.740157480,0.350652035,1.006710136,260.614562988,-115.084472656,0.727596223,-0.649077296,0.003559722,0.013873487,-0.760587633
3288,1713240153.439863443,fused_map_f2f,1,1,0,0.082229217,0.037382393,0.912009350,0.912009350,0.500000000,0.057417911,0.057417911,0.057417911,0.057417911,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.475208425,0.723076923,0.343612246,1.006240816,260.614440918,-115.083488464,0.727319300,-0.648941696,0.003536377,0.013894239,-0.760703087
